service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1000_410614,1,1,1,1,1,1,1,20260312,20260613
1001_410615,1,1,1,1,1,1,1,20260614,20261212
1002_410616,1,1,1,1,1,1,1,20260312,20260613
1003_410617,1,1,1,1,1,1,1,20260614,20261212
100_409172,1,1,1,1,1,1,1,20260516,20260613
1004_410618,1,1,1,1,1,1,1,20260413,20260417
1005_410620,1,1,1,1,1,1,1,20260312,20261212
1006_410621,1,1,1,1,1,1,1,20260413,20260417
1007_410622,1,1,1,1,1,1,1,20260312,20261212
1008_410623,1,1,1,1,1,1,1,20260413,20260417
1009_410624,1,1,1,1,1,1,1,20260312,20261212
1010_410625,1,1,1,1,1,1,1,20260413,20260416
1011_410627,1,1,1,1,1,1,1,20260312,20261212
1012_410628,0,0,0,0,0,1,1,20260312,20261212
1013_410630,1,1,1,1,1,0,0,20260312,20260612
101_409173,1,1,1,1,1,1,1,20260614,20261212
1014_410631,1,1,1,1,1,0,0,20260615,20261211
1015_410632,1,1,1,1,1,1,1,20260413,20260416
1016_410634,1,1,1,1,1,1,1,20260312,20261212
1017_410635,1,1,1,1,1,0,0,20260312,20261211
1018_410637,0,0,0,0,0,1,1,20260312,20260613
1019_410638,0,0,0,0,0,1,1,20260614,20261212
1020_410639,1,1,1,1,1,1,1,20260312,20261212
1021_410640,1,1,1,1,1,1,1,20260413,20260416
1022_410642,1,1,1,1,1,1,1,20260312,20261212
1023_410643,1,1,1,1,1,1,1,20260312,20261212
102_409176,1,1,1,1,1,1,1,20260312,20260425
1024_410645,1,1,1,1,1,1,1,20260312,20260613
1025_410646,1,1,1,1,1,1,1,20260614,20261212
1026_410647,1,1,1,1,1,1,1,20260312,20260613
1027_410648,1,1,1,1,1,1,1,20260614,20261212
1028_410649,1,1,1,1,1,1,1,20260312,20260613
1029_410650,1,1,1,1,1,1,1,20260614,20261212
1030_410652,1,1,1,1,1,0,0,20260312,20260612
1031_410653,1,1,1,1,1,0,0,20260615,20261211
1032_410654,0,0,0,0,0,1,1,20260312,20261212
1033_410656,0,0,0,0,0,1,1,20260312,20260613
103_409177,1,1,1,1,1,1,1,20260426,20260515
1034_410657,0,0,0,0,0,1,1,20260614,20261212
