trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled
38645733_409036,05:36:00,05:36:00,1474824,0,,0,
38645733_409036,05:41:00,05:41:00,1474825,1,,0,
38645733_409036,05:48:00,05:48:00,1474826,2,,0,
38645733_409036,05:55:00,05:55:00,1474827,3,,0,
38645733_409036,05:58:00,05:58:00,1474828,4,,0,
38645733_409036,06:03:00,06:07:00,1474829,5,,0,
38645733_409036,06:12:00,06:13:00,1474830,6,,0,
38645733_409036,06:18:00,06:19:00,1474831,7,,0,
38645733_409036,06:25:00,06:25:00,1474832,8,,0,
38645733_409036,06:34:00,06:34:00,1474758,9,,1,
38645734_409037,06:07:00,06:07:00,1474829,0,,0,
38645734_409037,06:12:00,06:13:00,1474830,1,,0,
38645734_409037,06:18:00,06:19:00,1474831,2,,0,
38645734_409037,06:25:00,06:25:00,1474832,3,,0,
38645734_409037,06:34:00,06:34:00,1474758,4,,1,
38645735_409038,07:23:00,07:23:00,1474829,0,,0,
38645735_409038,07:28:00,07:29:00,1474830,1,,0,
38645735_409038,07:34:00,07:35:00,1474831,2,,0,
38645735_409038,07:41:00,07:41:00,1474832,3,,0,
38645735_409038,07:50:00,07:50:00,1474758,4,,1,
38645738_409041,09:23:00,09:23:00,1474829,0,,0,
38645738_409041,09:28:00,09:29:00,1474830,1,,0,
38645738_409041,09:34:00,09:35:00,1474831,2,,0,
38645738_409041,09:41:00,09:41:00,1474832,3,,0,
38645738_409041,09:50:00,09:50:00,1474758,4,,1,
38645739_409042,09:23:00,09:23:00,1474829,0,,0,
38645739_409042,09:28:00,09:29:00,1474830,1,,0,
38645739_409042,09:34:00,09:35:00,1474831,2,,0,
38645739_409042,09:41:00,09:41:00,1474832,3,,0,
38645739_409042,09:50:00,09:50:00,1474758,4,,1,
38645741_409044,08:59:00,08:59:00,1474824,0,,0,
38645741_409044,09:04:00,09:04:00,1474825,1,,0,
38645741_409044,09:16:00,09:16:00,1474827,2,,0,
38645741_409044,09:20:00,09:20:00,1474828,3,,0,
38645741_409044,09:24:00,09:25:00,1474829,4,,0,
38645741_409044,09:30:00,09:31:00,1474830,5,,0,
38645741_409044,09:36:00,09:37:00,1474831,6,,0,
38645741_409044,09:43:00,09:43:00,1474832,7,,0,
38645741_409044,09:51:00,09:51:00,1474758,8,,1,
38645742_409045,09:23:00,09:23:00,1474829,0,,0,
38645742_409045,09:28:00,09:29:00,1474830,1,,0,
38645742_409045,09:34:00,09:35:00,1474831,2,,0,
38645742_409045,09:41:00,09:41:00,1474832,3,,0,
38645742_409045,09:50:00,09:50:00,1474758,4,,1,
38645743_409046,11:21:00,11:21:00,1474829,0,,0,
38645743_409046,11:26:00,11:27:00,1474830,1,,0,
38645743_409046,11:32:00,11:33:00,1474831,2,,0,
38645743_409046,11:39:00,11:39:00,1474832,3,,0,
38645743_409046,11:48:00,11:48:00,1474758,4,,1,
38645745_409048,13:37:00,13:37:00,1474824,0,,0,
38645745_409048,13:41:00,13:41:00,1474825,1,,0,
38645745_409048,13:48:00,13:48:00,1474826,2,,0,
38645745_409048,13:55:00,13:55:00,1474827,3,,0,
38645745_409048,13:58:00,13:58:00,1474828,4,,0,
38645745_409048,14:02:00,14:13:00,1474829,5,,0,
38645745_409048,14:18:00,14:19:00,1474830,6,,0,
38645745_409048,14:24:00,14:25:00,1474831,7,,0,
38645745_409048,14:31:00,14:31:00,1474832,8,,0,
38645745_409048,14:40:00,14:40:00,1474758,9,,1,
38645746_409049,14:13:00,14:13:00,1474829,0,,0,
38645746_409049,14:18:00,14:19:00,1474830,1,,0,
38645746_409049,14:24:00,14:25:00,1474831,2,,0,
38645746_409049,14:31:00,14:31:00,1474832,3,,0,
38645746_409049,14:40:00,14:40:00,1474758,4,,1,
38645747_409050,16:13:00,16:13:00,1474829,0,,0,
38645747_409050,16:18:00,16:19:00,1474830,1,,0,
38645747_409050,16:24:00,16:25:00,1474831,2,,0,
38645747_409050,16:31:00,16:31:00,1474832,3,,0,
38645747_409050,16:40:00,16:40:00,1474758,4,,1,
38645748_409051,16:23:00,16:23:00,1474829,0,,0,
38645748_409051,16:28:00,16:29:00,1474830,1,,0,
38645748_409051,16:34:00,16:35:00,1474831,2,,0,
38645748_409051,16:41:00,16:41:00,1474832,3,,0,
38645748_409051,16:50:00,16:50:00,1474758,4,,1,
38645750_409053,18:32:00,18:32:00,1474829,0,,0,
38645750_409053,18:37:00,18:38:00,1474830,1,,0,
38645750_409053,18:43:00,18:44:00,1474831,2,,0,
38645750_409053,18:50:00,18:50:00,1474832,3,,0,
38645750_409053,18:59:00,18:59:00,1474758,4,,1,
38645751_409054,18:32:00,18:32:00,1474829,0,,0,
38645751_409054,18:37:00,18:38:00,1474830,1,,0,
38645751_409054,18:43:00,18:44:00,1474831,2,,0,
38645751_409054,18:50:00,18:50:00,1474832,3,,0,
38645751_409054,18:59:00,18:59:00,1474758,4,,1,
38645753_409056,18:05:00,18:05:00,1474824,0,,0,
38645753_409056,18:09:00,18:09:00,1474825,1,,0,
38645753_409056,18:22:00,18:22:00,1474827,2,,0,
38645753_409056,18:25:00,18:25:00,1474828,3,,0,
38645753_409056,18:30:00,18:32:00,1474829,4,,0,
38645753_409056,18:37:00,18:38:00,1474830,5,,0,
38645753_409056,18:43:00,18:44:00,1474831,6,,0,
38645753_409056,18:50:00,18:50:00,1474832,7,,0,
38645753_409056,18:59:00,18:59:00,1474758,8,,1,
38645754_409057,18:32:00,18:32:00,1474829,0,,0,
38645754_409057,18:37:00,18:38:00,1474830,1,,0,
38645754_409057,18:43:00,18:44:00,1474831,2,,0,
38645754_409057,18:50:00,18:50:00,1474832,3,,0,
38645754_409057,18:59:00,18:59:00,1474758,4,,1,
38645755_409058,09:25:00,09:25:00,1474829,0,,0,
38645755_409058,09:30:00,09:31:00,1474830,1,,0,
38645755_409058,09:36:00,09:37:00,1474831,2,,0,
38645755_409058,09:43:00,09:43:00,1474832,3,,0,
38645755_409058,09:51:00,09:51:00,1474758,4,,1,
38645757_409060,06:35:00,06:35:00,1474588,0,,0,
38645757_409060,06:38:00,06:38:00,1474589,1,,0,
38645757_409060,06:41:00,06:41:00,1474590,2,,0,
38645757_409060,06:42:00,06:42:00,1474591,3,,0,
38645757_409060,06:45:00,06:45:00,1474592,4,,0,
38645757_409060,06:50:00,06:50:00,1474593,5,,0,
38645757_409060,06:55:00,06:56:00,1474594,6,,0,
38645757_409060,06:57:00,06:57:00,1474595,7,,0,
38645757_409060,06:59:00,06:59:00,1474596,8,,0,
38645757_409060,07:00:00,07:00:00,1474597,9,,0,
38645757_409060,07:02:00,07:02:00,1474598,10,,0,
38645757_409060,07:06:00,07:06:00,1474599,11,,0,
38645757_409060,07:11:00,07:12:00,1474600,12,,0,
38645757_409060,07:13:00,07:13:00,1474601,13,,0,
38645757_409060,07:14:00,07:14:00,1474602,14,,0,
38645757_409060,07:17:00,07:17:00,1474603,15,,0,
38645757_409060,07:20:00,07:20:00,1474604,16,,0,
38645757_409060,07:25:00,07:30:00,1474605,17,,0,
38645757_409060,07:34:00,07:34:00,1474606,18,,0,
38645757_409060,07:36:00,07:36:00,1474607,19,,0,
38645757_409060,07:38:00,07:38:00,1474608,20,,0,
38645757_409060,07:40:00,07:40:00,1474609,21,,0,
38645757_409060,07:46:00,07:46:00,1474610,22,,0,
38645757_409060,07:54:00,07:57:00,1474611,23,,0,
38645757_409060,08:06:00,08:07:00,1474612,24,,0,
38645757_409060,08:17:00,08:17:00,1474613,25,,0,
38645757_409060,08:22:00,08:22:00,1474614,26,,1,
38645758_409061,06:35:00,06:35:00,1474588,0,,0,
38645758_409061,06:38:00,06:38:00,1474589,1,,0,
38645758_409061,06:41:00,06:41:00,1474590,2,,0,
38645758_409061,06:42:00,06:42:00,1474591,3,,0,
38645758_409061,06:45:00,06:45:00,1474592,4,,0,
38645758_409061,06:50:00,06:50:00,1474593,5,,0,
38645758_409061,06:55:00,06:56:00,1474594,6,,0,
38645758_409061,06:57:00,06:57:00,1474595,7,,0,
38645758_409061,06:59:00,06:59:00,1474596,8,,0,
38645758_409061,07:00:00,07:00:00,1474597,9,,0,
38645758_409061,07:02:00,07:02:00,1474598,10,,0,
38645758_409061,07:06:00,07:06:00,1474599,11,,0,
38645758_409061,07:11:00,07:12:00,1474600,12,,0,
38645758_409061,07:13:00,07:13:00,1474601,13,,0,
38645758_409061,07:14:00,07:14:00,1474602,14,,0,
38645758_409061,07:17:00,07:17:00,1474603,15,,0,
38645758_409061,07:20:00,07:20:00,1474604,16,,0,
38645758_409061,07:25:00,07:29:00,1474605,17,,0,
38645758_409061,07:31:00,07:31:00,1474606,18,,0,
38645758_409061,07:33:00,07:33:00,1474608,19,,0,
38645758_409061,07:35:00,07:35:00,1474609,20,,0,
38645758_409061,07:40:00,07:40:00,1474615,21,,0,
38645758_409061,07:48:00,07:48:00,1474610,22,,0,
38645758_409061,07:56:00,07:56:00,1474611,23,,0,
38645758_409061,08:06:00,08:07:00,1536271,24,,0,
38645758_409061,08:18:00,08:19:00,1657882,25,,0,
38645758_409061,08:22:00,08:22:00,1536272,26,,1,
38645759_409062,06:35:00,06:35:00,1474588,0,,0,
38645759_409062,06:38:00,06:38:00,1474589,1,,0,
38645759_409062,06:41:00,06:41:00,1474590,2,,0,
38645759_409062,06:42:00,06:42:00,1474591,3,,0,
38645759_409062,06:45:00,06:45:00,1474592,4,,0,
38645759_409062,06:50:00,06:50:00,1474593,5,,0,
38645759_409062,06:55:00,06:56:00,1474594,6,,0,
38645759_409062,06:57:00,06:57:00,1474595,7,,0,
38645759_409062,06:59:00,06:59:00,1474596,8,,0,
38645759_409062,07:00:00,07:00:00,1474597,9,,0,
38645759_409062,07:02:00,07:02:00,1474598,10,,0,
38645759_409062,07:06:00,07:06:00,1474599,11,,0,
38645759_409062,07:11:00,07:12:00,1474600,12,,0,
38645759_409062,07:13:00,07:13:00,1474601,13,,0,
38645759_409062,07:14:00,07:14:00,1474602,14,,0,
38645759_409062,07:17:00,07:17:00,1474603,15,,0,
38645759_409062,07:20:00,07:20:00,1474604,16,,0,
38645759_409062,07:25:00,07:30:00,1474605,17,,0,
38645759_409062,07:34:00,07:34:00,1474606,18,,0,
38645759_409062,07:36:00,07:36:00,1474607,19,,0,
38645759_409062,07:38:00,07:38:00,1474608,20,,0,
38645759_409062,07:40:00,07:40:00,1474609,21,,0,
38645759_409062,07:46:00,07:46:00,1474610,22,,0,
38645759_409062,07:54:00,07:57:00,1474611,23,,0,
38645759_409062,08:06:00,08:07:00,1474612,24,,0,
