route_id,service_id,trip_id,trip_headsign,direction_id,block_id
249497,1_409036,38645733_409036,Sędzisław,,25400/60461
249497,2_409037,38645734_409037,Sędzisław,,25400/60461
249497,3_409038,38645735_409038,Sędzisław,,25402/60463
249497,4_409041,38645738_409041,Sędzisław,,25404/60465
249497,5_409042,38645739_409042,Sędzisław,,25404/60465
249497,6_409044,38645741_409044,Sędzisław,,25406/60465
249497,7_409045,38645742_409045,Sędzisław,,25406/60465
249497,8_409046,38645743_409046,Sędzisław,,25408/60467
249497,9_409048,38645745_409048,Sędzisław,,25410/60469
249497,10_409049,38645746_409049,Sędzisław,,25410/60469
249497,11_409050,38645747_409050,Sędzisław,,25412/60471
249497,12_409051,38645748_409051,Sędzisław,,25412/60471
249497,13_409053,38645750_409053,Sędzisław,,25414/60473
249497,14_409054,38645751_409054,Sędzisław,,25414/60473
249497,15_409056,38645753_409056,Sędzisław,,25416/60473
249497,16_409057,38645754_409057,Sędzisław,,25416/60473
249497,17_409058,38645755_409058,Sędzisław,,25424/60465
249498,18_409060,38645757_409060,Szklarska Poręba Górna,,2650
249498,19_409061,38645758_409061,Szklarska Poręba Górna,,2650
249498,20_409062,38645759_409062,Szklarska Poręba Górna,,2650
249498,21_409063,38645760_409063,Szklarska Poręba Górna,,2650
249498,22_409066,38645763_409066,Liberec,,2651
249498,23_409067,38645764_409067,Liberec,,2651
249498,24_409068,38645765_409068,Liberec,,2651
249498,25_409069,38645766_409069,Harrachov,,2651
249498,26_409071,38645768_409071,Szklarska Poręba Górna,,2652
249498,27_409072,38645769_409072,Szklarska Poręba Górna,,2652
249498,28_409073,38645770_409073,Szklarska Poręba Górna,,2652
249498,29_409074,38645771_409074,Szklarska Poręba Górna,,2652
249498,30_409077,38645774_409077,Liberec,,2653
249498,31_409078,38645775_409078,Liberec,,2653
249498,32_409079,38645776_409079,Liberec,,2653
249498,33_409080,38645777_409080,Harrachov,,2653
249498,34_409082,38645779_409082,Szklarska Poręba Górna,,2654
249498,35_409083,38645780_409083,Szklarska Poręba Górna,,2654
249498,36_409084,38645781_409084,Szklarska Poręba Górna,,2654
249498,37_409085,38645782_409085,Szklarska Poręba Górna,,2654
249498,38_409088,38645785_409088,Liberec,,2655
249498,39_409089,38645786_409089,Liberec,,2655
249498,40_409090,38645787_409090,Liberec,,2655
249498,41_409091,38645788_409091,Harrachov,,2655
249498,42_409093,38645790_409093,Szklarska Poręba Górna,,2656
249498,43_409094,38645791_409094,Szklarska Poręba Górna,,2656
249498,44_409095,38645792_409095,Szklarska Poręba Górna,,2656
249498,45_409096,38645793_409096,Szklarska Poręba Górna,,2656
249498,46_409099,38645796_409099,Liberec,,2657
249498,47_409100,38645797_409100,Liberec,,2657
249498,48_409101,38645798_409101,Liberec,,2657
249498,49_409102,38645799_409102,Harrachov,,2657
249498,50_409104,38645801_409104,Szklarska Poręba Górna,,2658
249498,51_409105,38645802_409105,Szklarska Poręba Górna,,2658
249498,52_409106,38645803_409106,Szklarska Poręba Górna,,2658
249498,53_409107,38645804_409107,Szklarska Poręba Górna,,2658
249498,54_409110,38645807_409110,Liberec,,2659
249498,55_409111,38645808_409111,Liberec,,2659
249498,56_409112,38645809_409112,Liberec,,2659
249498,57_409113,38645810_409113,Harrachov,,2659
249498,58_409115,38645812_409115,Szklarska Poręba Górna,,2660
249498,59_409116,38645813_409116,Szklarska Poręba Górna,,2660
249498,60_409117,38645814_409117,Szklarska Poręba Górna,,2660
249498,61_409118,38645815_409118,Szklarska Poręba Górna,,2660
249498,62_409121,38645818_409121,Liberec,,2661
249498,63_409122,38645819_409122,Liberec,,2661
249498,64_409123,38645820_409123,Liberec,,2661
249498,65_409124,38645821_409124,Harrachov,,2661
249498,66_409126,38645823_409126,Szklarska Poręba Górna,,2662
249498,67_409127,38645824_409127,Szklarska Poręba Górna,,2662
249498,68_409128,38645825_409128,Szklarska Poręba Górna,,2662
249498,69_409129,38645826_409129,Szklarska Poręba Górna,,2662
249498,70_409132,38645829_409132,Liberec,,2663
249498,71_409133,38645830_409133,Liberec,,2663
249498,72_409134,38645831_409134,Liberec,,2663
249498,73_409135,38645832_409135,Harrachov,,2663
249498,74_409137,38645834_409137,Szklarska Poręba Górna,,2664
249498,75_409138,38645835_409138,Szklarska Poręba Górna,,2664
249498,76_409139,38645836_409139,Szklarska Poręba Górna,,2664
249498,77_409140,38645837_409140,Szklarska Poręba Górna,,2664
249498,78_409143,38645840_409143,Liberec,,2665
249498,79_409144,38645841_409144,Liberec,,2665
249498,80_409145,38645842_409145,Liberec,,2665
249498,81_409146,38645843_409146,Harrachov,,2665
249498,82_409148,38645845_409148,Szklarska Poręba Górna,,2666
249498,83_409149,38645846_409149,Szklarska Poręba Górna,,2666
249498,84_409150,38645847_409150,Szklarska Poręba Górna,,2666
249498,85_409151,38645848_409151,Szklarska Poręba Górna,,2666
249498,86_409154,38645851_409154,Liberec,,2667
249498,87_409155,38645852_409155,Liberec,,2667
249498,88_409156,38645853_409156,Liberec,,2667
249498,89_409157,38645854_409157,Harrachov,,2667
249498,90_409159,38645856_409159,Szklarska Poręba Górna,,2668
249498,91_409160,38645857_409160,Szklarska Poręba Górna,,2668
249498,92_409161,38645858_409161,Szklarska Poręba Górna,,2668
249498,93_409162,38645859_409162,Szklarska Poręba Górna,,2668
249498,94_409165,38645862_409165,Liberec,,2669
249498,95_409166,38645863_409166,Liberec,,2669
